model_name,sku,purchaseCount
Lenskart Gold Membership,lenskart-select-membership,10322071
Aqua Gold Contact Lens Membership,lenskart-aquagold-membership,7461575
Aqualens Spectacle Lens Cleaner Bottle 100 ml,aqualens-lens-lens-spray-solution-100-ml,7197166
Aqualens Spectacle Lens Cleaner Bottle 100 ml,aqualens-lens-lens-spray-solution-100-ml,7197166
Aqualens Lens Cleaner Spray 100 ml,aqualens-digital-lens-cleaner-solution-100-ml,4601436
Aqualens Lens Cleaner Spray 100 ml,aqualens-digital-lens-cleaner-solution-100-ml,4601436
Lenskart Gold MAX membership (2 years),lenskart-gold-max-membership-2-years,3655835
Lenskart Gold MAX upgrade,lenskart-gold-max-upgrade,3321457
Lenskart Gold Membership (2 Years),lenskart-gold-premium-membership,3241985
,home-lenskart-demo-product,3042740
