sku,avgRating,totalNoOfRatings
vincent-chase-full-rim-vc-s12601-c1-sunglasses,5.0,19
vincent-chase-full-rim-vc-s12601-c1-sunglasses,5.0,19
lenskart-reader-lr-6967-c1-b-eyeglasses,5.0,17
lenskart-reader-lr-6967-c1-c-eyeglasses,5.0,17
lenskart-reader-lr-6967-c1-d-eyeglasses,5.0,17
lenskart-reader-lr-6967-c1-a-eyeglasses,5.0,17
lenskart-gold-max-upgrade,5.0,15
hooper-hp-e10086-c3-eyeglasses,5.0,14
hooper-hp-e10086-c2-eyeglasses,5.0,14
hooper-hp-e10086-c3-eyeglasses,5.0,14
hooper-hp-e10086-c2-eyeglasses,5.0,14
hooper-hp-e10086-c3-eyeglasses,5.0,14
hooper-hp-e10086-c2-eyeglasses,5.0,14
hooper-hp-e10077-c2-eyeglasses,5.0,13
hooper-hp-e10077-c2-eyeglasses,5.0,13
